0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;4.00
4.00;30.00;1000.00;9.00
9.00;30.00;1000.00;6.00
6.00;30.00;1000.00;1.00
1.00;30.00;1000.00;10.00
10.00;30.00;1000.00;1.00
1.00;30.00;1000.00;1.00
1.00;30.00;1000.00;7.00
7.00;30.00;1000.00;5.00
5.00;30.00;1000.00;6.00
6.00;30.00;1000.00;6.00
6.00;30.00;1000.00;4.00
4.00;30.00;1000.00;0.00
0.00;30.00;1000.00;20.00
20.00;30.00;1000.00;4.00
4.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;4.00
4.00;30.00;1000.00;5.00
5.00;30.00;1000.00;4.00
4.00;30.00;1000.00;1.00
1.00;30.00;1000.00;8.00
8.00;30.00;1000.00;1.00
1.00;30.00;1000.00;7.00
7.00;30.00;1000.00;7.00
7.00;30.00;1000.00;8.00
8.00;30.00;1000.00;8.00
8.00;30.00;1000.00;6.00
6.00;30.00;1000.00;3.00
3.00;30.00;1000.00;5.00
5.00;30.00;1000.00;3.00
3.00;30.00;1000.00;3.00
3.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;2.00
2.00;30.00;1000.00;2.00
2.00;30.00;1000.00;0.00
0.00;30.00;1000.00;4.00
4.00;30.00;1000.00;6.00
6.00;30.00;1000.00;6.00
6.00;30.00;1000.00;7.00
7.00;30.00;1000.00;6.00
6.00;30.00;1000.00;5.00
5.00;30.00;1000.00;9.00
9.00;30.00;1000.00;6.00
6.00;30.00;1000.00;7.00
7.00;30.00;1000.00;6.00
6.00;30.00;1000.00;7.00
7.00;30.00;1000.00;5.00
5.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;3.00
3.00;30.00;1000.00;3.00
3.00;30.00;1000.00;3.00
3.00;30.00;1000.00;4.00
4.00;30.00;1000.00;5.00
5.00;30.00;1000.00;7.00
7.00;30.00;1000.00;7.00
7.00;30.00;1000.00;7.00
7.00;30.00;1000.00;9.00
9.00;30.00;1000.00;7.00
7.00;30.00;1000.00;9.00
9.00;30.00;1000.00;5.00
5.00;30.00;1000.00;5.00
5.00;30.00;1000.00;7.00
7.00;30.00;1000.00;4.00
4.00;30.00;1000.00;0.00
0.00;30.00;1000.00;2.00
2.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;2.00
2.00;30.00;1000.00;2.00
2.00;30.00;1000.00;3.00
3.00;30.00;1000.00;2.00
2.00;30.00;1000.00;6.00
6.00;30.00;1000.00;6.00
6.00;30.00;1000.00;1.00
1.00;30.00;1000.00;6.00
6.00;30.00;1000.00;7.00
7.00;30.00;1000.00;6.00
6.00;30.00;1000.00;6.00
6.00;30.00;1000.00;5.00
5.00;30.00;1000.00;1.00
1.00;30.00;1000.00;8.00
8.00;30.00;1000.00;6.00
6.00;30.00;1000.00;2.00
2.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;3.00
3.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;2.00
2.00;30.00;1000.00;3.00
3.00;30.00;1000.00;4.00
4.00;30.00;1000.00;9.00
9.00;30.00;1000.00;9.00
9.00;30.00;1000.00;4.00
4.00;30.00;1000.00;9.00
9.00;30.00;1000.00;9.00
9.00;30.00;1000.00;4.00
4.00;30.00;1000.00;3.00
3.00;30.00;1000.00;4.00
4.00;30.00;1000.00;2.00
2.00;30.00;1000.00;2.00
2.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;3.00
3.00;30.00;1000.00;2.00
2.00;30.00;1000.00;7.00
7.00;30.00;1000.00;6.00
6.00;30.00;1000.00;2.00
2.00;30.00;1000.00;8.00
8.00;30.00;1000.00;10.00
10.00;30.00;1000.00;8.00
8.00;30.00;1000.00;7.00
7.00;30.00;1000.00;5.00
5.00;30.00;1000.00;4.00
4.00;30.00;1000.00;5.00
5.00;30.00;1000.00;2.00
2.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
0.00;30.00;1000.00;0.00
