5.1;30.3;1006.6;3.2
4.5;30.3;1006.6;2.8
4;30.3;1006.7;2.1
3.7;30.2;1006.7;3.3
3.9;30.1;1006.8;4.9
3.3;30.2;1006.8;4.8
3.2;30.2;1006.9;5.1
2.8;30.3;1007;4.5
2.1;30.3;1007.1;4.3
3.3;30.5;1007.2;4.2
4.9;30.6;1007.3;4.7
4.8;30.4;1007.4;4.2
5.1;30.3;1007.4;4.9
4.5;30.2;1007.5;4.7
4.3;30.1;1007.7;4
4.2;29.9;1007.8;3.4
4.7;29.8;1007.9;3.3
4.2;29.6;1008;3.5
4.9;29.4;1008.1;3.2
4.7;29.3;1008.2;3.2
4;29.2;1008.3;2.9
3.4;29.1;1008.5;3.2
3.3;29;1008.5;3.4
3.5;28.9;1008.7;2.9
3.2;28.7;1008.9;3
3.2;28.6;1009;2.9
2.9;28.4;1009.2;3.1
3.2;28.4;1009.3;3.3
3.4;28.4;1009.4;3.7
2.9;28.4;1009.5;3.8
3;28.3;1009.6;3.8
2.9;28.1;1009.7;4
3.1;28;1009.9;3.6
3.3;27.8;1009.8;3.7
3.7;27.8;1009.8;3.7
3.8;27.7;1009.8;3.8
3.8;27.7;1009.9;3.5
4;27.8;1009.9;3
3.6;27.9;1009.9;3.1
3.7;27.9;1009.8;3.1
3.7;27.9;1009.8;3.5
3.8;28;1009.7;3.8
3.5;27.9;1009.7;3.7
3;27.9;1009.7;3.6
3.1;28.1;1009.7;4
3.1;28.1;1009.6;3.7
3.5;28;1009.5;3.8
3.8;27.7;1009.5;4
3.7;27.5;1009.5;4.1
3.6;27.2;1009.5;3.7
4;27;1009.5;3
3.7;26.9;1009.5;3.5
3.8;26.8;1009.5;3.6
4;26.7;1009.5;3.2
4.1;26.6;1009.3;3.6
3.7;26.6;1009.2;3.1
3;26.5;1009.1;3.8
3.5;26.4;1009.1;4
3.6;26.3;1009.1;4.3
3.2;26.3;1009;3.8
3.6;26.2;1008.9;3.8
3.1;26.1;1008.9;3.7
3.8;26.1;1008.9;3.3
4;26.1;1008.9;3.6
4.3;26;1008.8;3.4
3.8;26;1008.8;3.3
3.8;26;1008.8;3.8
3.7;26;1008.8;3.9
3.3;26;1008.8;3.4
3.6;26;1008.7;3.3
3.4;26.1;1008.7;3.4
3.3;26.1;1008.6;3.5
3.8;26;1008.6;3.5
3.9;25.9;1008.6;3.5
3.4;25.8;1008.7;3.2
3.3;25.7;1008.7;3.3
3.4;25.6;1008.8;3.6
3.5;25.5;1008.8;3.4
3.5;25.5;1008.9;3.5
3.5;25.4;1008.9;3.8
3.2;25.4;1008.9;3.5
3.3;25.5;1008.9;3.6
3.6;25.6;1008.9;3.4
3.4;25.6;1009;3.6
3.5;25.8;1009;3.6
3.8;25.9;1009.1;3.8
3.5;25.9;1009.1;3.7
3.6;26;1009.2;2.5
3.4;26.1;1009.3;4
3.6;26.3;1009.4;4
3.6;26.4;1009.5;4.6
3.8;26.5;1009.5;4.5
3.7;26.8;1009.6;4.9
2.5;27.4;1009.8;5.2
4;27.5;1009.8;5.8
4;27.9;1009.9;6.7
4.6;28.2;1009.9;6.5
4.5;28.5;1010;5.7
4.9;28.7;1010.1;6.7
5.2;28.8;1010.2;7
5.8;29;1010.3;7.5
6.7;28.9;1010.3;6.4
6.5;29.1;1010.3;6.7
5.7;29.4;1010.3;6.6
6.7;29.5;1010.2;7.4
7;29.5;1010.3;6.9
7.5;29.5;1010.2;6.5
6.4;29.7;1010.2;6.2
6.7;30;1010.1;6
6.6;30;1010;6.9
7.4;30;1009.9;7
6.9;30.1;1009.8;7.1
6.5;30.3;1009.9;0
6.2;30.5;1009.8;6
6;30.9;1009.7;5.8
6.9;30.9;1009.7;5.4
7;30.8;1009.6;5.6
7.1;30.6;1009.4;5.3
6;31;1009.2;5.5
5.8;31.2;1009.1;5.1
5.4;31.1;1008.9;4.4
5.6;31.4;1008.7;5.1
5.3;31.6;1008.5;4.8
5.7;31.7;1008.3;5
5.5;31.7;1008.1;4.8
5.1;31.8;1008;4.5
4.4;32.2;1007.9;4.9
5.1;32;1007.8;3.7
4.8;32.2;1007.6;5.2
5;32.3;1007.4;4.6
4.8;32.4;1007.3;3.7
4.5;32.6;1007.1;3.8
4.9;32.3;1007;4.5
3.7;32.3;1006.8;4.7
5.2;32.4;1006.7;4.8
4.6;32.5;1006.5;4.4
3.7;32.6;1006.4;4.2
3.8;32.6;1006.3;4.1
4.5;32.8;1006.3;4.2
4.7;32.6;1006.2;4.1
4.8;32.5;1006.3;4.3
4.4;32.5;1006.3;4.1
4.2;32.6;1006.3;4.9
4.1;32.6;1006.3;5.1
4.2;32.4;1006.2;5
4.1;32.3;1006.2;4.8
4.3;32.2;1006.1;4.5
4.1;32.2;1006.1;4.3
4.9;32;1006;4.8
5.1;31.6;1006;5.2
5;31.1;1006;5
4.8;31;1006;4.9
4.5;31;1006.1;4.6
4.3;30.9;1006.2;5.1
4.8;30.9;1006.3;4.6
5.2;30.7;1006.3;4.2
5;30.5;1006.5;4.9
4.9;30.3;1006.6;4.7
4.6;30.2;1006.7;4.8
5.1;30.1;1006.8;4.7
3.7;25.2;1008.7;3.2
3.3;25.3;1008.8;3.1
3.1;25.4;1009;3.8
3.2;25.7;1009.1;3.5
3.2;26.1;1009.1;3.5
3.8;26.1;1009.1;3.8
3.2;26.4;1009.1;4
3.1;26.8;1009.1;4.3
3.8;27.3;1009.1;5.6
3.5;27.7;1009.1;6
3.5;28;1009.2;5
3.8;28.3;1009.2;5.2
4;28.7;1009.2;5.5
4.3;29.2;1009.2;5.1
5.6;29.4;1009.2;5.2
6;29.4;1009.2;4.9
5;29.6;1009.1;5.2
5.2;29.7;1009;5.3
5.5;29.9;1008.9;5.1
5.1;30.2;1009.1;5.6
5.2;30.1;1009.1;5.7
4.9;30.6;1009.1;6
5.2;30.3;1008.9;6.4
5.3;30.4;1008.9;0
5.1;30.5;1008.7;5.9
5.6;31.1;1008.6;5.6
5.7;30.9;1008.4;5.8
6;30.6;1008.3;5.3
6.4;30.5;1008.2;5.4
5.9;31.1;1008;5.4
5.6;31.1;1007.8;5.7
5.8;31.4;1007.7;5.6
